"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.115994462E0,1.141499996E1,1.799999952E0,1.597399998E1,1.971575257E1
1.126012693E0,9.920999527E0,3.440000117E-1,1.628100014E1,1.906870560E1
1.136185616E0,8.274000168E0,-9.570000172E-1,1.597399998E1,1.801509376E1
1.145994077E0,6.396999836E0,-2.105999947E0,1.501599979E1,1.645712893E1
1.155996000E0,4.635000229E0,-2.948999882E0,1.375199986E1,1.480869094E1
1.166543616E0,3.141000032E0,-3.447000027E0,1.244999981E1,1.329474278E1
1.176012462E0,2.183000088E0,-3.677000046E0,1.103199959E1,1.183177221E1
1.186006154E0,2.029999971E0,-3.677000046E0,9.692000389E0,1.056295890E1
1.196007385E0,2.259999990E0,-3.447000027E0,8.581000328E0,9.519610064E0
1.206195154E0,2.298000097E0,-3.026000023E0,7.776000023E0,8.654689881E0
1.216007308E0,2.029999971E0,-2.528000116E0,7.010000229E0,7.723456977E0
1.226000616E0,1.684999943E0,-1.914999962E0,6.052000046E0,6.567583590E0
1.236000308E0,1.684999943E0,-1.302000046E0,4.902999878E0,5.345450096E0
1.246520693E0,1.723000050E0,-6.510000229E-1,3.868999958E0,4.285054361E0
1.256646847E0,1.799999952E0,-7.599999756E-2,2.872999907E0,3.391150880E0
1.266005385E0,1.991999984E0,4.210000038E-1,1.991999984E0,2.848397598E0
1.276011077E0,2.068000078E0,8.420000076E-1,1.302000046E0,2.584722897E0
1.289105693E0,2.298000097E0,9.570000172E-1,1.340000033E0,2.827057405E0
1.296006462E0,2.375000000E0,8.040000200E-1,2.450999975E0,3.506343097E0
1.305991770E0,1.838000059E0,3.829999864E-1,4.367000103E0,4.753485364E0
1.316179847E0,7.269999981E-1,-2.290000021E-1,6.626999855E0,6.670689400E0
1.325994000E0,-6.119999886E-1,-1.034000039E0,9.001999855E0,9.081833596E0
1.337683693E0,-2.220999956E0,-1.838000059E0,1.099400043E1,1.136569974E1
1.346010077E0,-3.792000055E0,-2.450999975E0,1.233500004E1,1.313540602E1
1.355991923E0,-5.094999790E0,-2.948999882E0,1.317800045E1,1.443313268E1
1.365993231E0,-5.975999832E0,-3.293999910E0,1.379100037E1,1.538683530E1
1.377636693E0,-6.742000103E0,-3.486000061E0,1.432699966E1,1.621325634E1
1.385992154E0,-7.202000141E0,-3.601000071E0,1.501599979E1,1.703866947E1
1.395992308E0,-7.431000233E0,-3.677000046E0,1.605100060E1,1.806584385E1
1.405995923E0,-7.660999775E0,-3.638999939E0,1.731500053E1,1.928062451E1
1.416092308E0,-7.928999901E0,-3.486000061E0,1.884700012E1,2.074200206E1
1.426485770E0,-8.312000275E0,-3.371000051E0,2.068600082E1,2.254692041E1
1.436002847E0,-9.116999626E0,-3.293999910E0,2.271599960E1,2.469790994E1
1.446057308E0,-1.038099957E1,-3.141000032E0,2.482299995E1,2.708897119E1
1.456416154E0,-1.152999973E1,-2.948999882E0,2.696899986E1,2.947820293E1
1.466009077E0,-1.229699993E1,-2.796000004E0,2.930599976E1,3.190416031E1
1.476009077E0,-1.241100025E1,-2.528000116E0,3.175699997E1,3.418962941E1
1.485993923E0,-1.214299965E1,-2.298000097E0,3.417100143E1,3.633717909E1
1.495997693E0,-1.164500046E1,-2.068000078E0,3.669900131E1,3.855774056E1
1.506919077E0,-1.110900021E1,-1.838000059E0,3.938100052E1,4.095914222E1
1.515990000E0,-1.076399994E1,-1.761999965E0,4.190900040E1,4.330511116E1
1.526422770E0,-1.030500031E1,-1.761999965E0,4.413100052E1,4.535242972E1
1.536001385E0,-9.614999771E0,-1.838000059E0,4.589300156E1,4.692540950E1
1.545985923E0,-8.656999588E0,-2.029999971E0,4.696599960E1,4.780031026E1
1.555987770E0,-7.047999859E0,-2.298000097E0,4.738700104E1,4.796335032E1
1.565990616E0,-4.710999966E0,-2.911000013E0,4.742599869E1,4.774822293E1
1.575987308E0,-2.029999971E0,-3.868999958E0,4.746400070E1,4.766467689E1
1.585995693E0,7.269999981E-1,-5.209000111E0,4.773199844E1,4.802089011E1
1.595994770E0,3.371000051E0,-7.086999893E0,4.784700012E1,4.848633446E1
1.605985923E0,6.434999943E0,-9.347000122E0,4.777000046E1,4.909937453E1
1.615992154E0,1.003600025E1,-1.176000023E1,4.731100082E1,4.977298168E1
1.626285231E0,1.394400024E1,-1.425000000E1,4.620000076E1,5.031836358E1
1.635987616E0,1.804299927E1,-1.673999977E1,4.451399994E1,5.086524949E1
1.645987616E0,2.187400055E1,-1.919199944E1,4.256000137E1,5.155733177E1
1.655989693E0,2.547500038E1,-2.156699944E1,4.029999924E1,5.232782288E1
1.665986539E0,2.896100044E1,-2.378899956E1,3.769499969E1,5.315608195E1
1.676015693E0,3.256200027E1,-2.578100014E1,3.470700073E1,5.412503792E1
1.685995462E0,3.616299820E1,-2.746699905E1,3.156599998E1,5.530470894E1
1.695985616E0,3.968700027E1,-2.880800056E1,2.804100037E1,5.649120807E1
1.705996000E0,4.347999954E1,-2.976499939E1,2.405699921E1,5.792412934E1
1.715998154E0,4.742599869E1,-3.014800072E1,1.980500031E1,5.958494219E1
1.725984539E0,5.052899933E1,-3.007200050E1,1.543799973E1,6.079339457E1
1.735989000E0,5.240599823E1,-2.987999916E1,1.118599987E1,6.135413265E1
1.745991616E0,5.343999863E1,-2.942099953E1,7.125000000E0,6.141819186E1
1.755988616E0,5.413000107E1,-2.888400078E1,2.680999994E0,6.141278595E1
1.765992693E0,5.478099823E1,-2.819499969E1,-2.220999956E0,6.165102283E1
1.775999539E0,5.493399811E1,-2.731399918E1,-7.202000141E0,6.177108956E1
1.786006539E0,5.409099960E1,-2.627899933E1,-1.141499996E1,6.121049149E1
1.795992770E0,5.232899857E1,-2.528300095E1,-1.440400028E1,5.987511546E1
1.805995462E0,5.006900024E1,-2.421100044E1,-1.689399910E1,5.812473255E1
1.816039308E0,4.757899857E1,-2.313800049E1,-1.900099945E1,5.621535512E1
1.825989770E0,4.451399994E1,-2.214200020E1,-2.072400093E1,5.386323958E1
1.836345693E0,4.060699844E1,-2.145199966E1,-2.229500008E1,5.105079471E1
1.846008462E0,3.646900177E1,-2.091600037E1,-2.371299934E1,4.826772731E1
1.855989000E0,3.263800049E1,-2.037999916E1,-2.532099915E1,4.606231040E1
1.866003539E0,2.915200043E1,-1.995800018E1,-2.712199974E1,4.453946307E1
1.876010231E0,2.578100014E1,-1.949900055E1,-2.807999992E1,4.281772281E1
1.886001693E0,2.237199974E1,-1.915399933E1,-2.800300026E1,4.063926779E1
1.895995000E0,1.934499931E1,-1.888599968E1,-2.738999939E1,3.848534850E1
1.906253693E0,1.712299919E1,-1.861700058E1,-2.700699997E1,3.700226830E1
1.916026847E0,1.547599983E1,-1.838800049E1,-2.754299927E1,3.655464323E1
1.926023847E0,1.413500023E1,-1.811899948E1,-2.861599922E1,3.670111422E1
1.935997616E0,1.275599957E1,-1.792799950E1,-2.999500084E1,3.719984901E1
1.945998231E0,1.156900024E1,-1.785099983E1,-3.129800034E1,3.784263187E1
1.956000077E0,1.080300045E1,-1.781299973E1,-3.198699951E1,3.817297363E1
1.965999847E0,1.045800018E1,-1.781299973E1,-3.213999939E1,3.820539606E1
1.975989308E0,1.061100006E1,-1.785099983E1,-3.179599953E1,3.797679691E1
1.986029770E0,1.103199959E1,-1.804299927E1,-3.064599991E1,3.723482440E1
1.996016077E0,1.176000023E1,-1.834900093E1,-2.930599976E1,3.652156982E1
2.006811000E0,1.279500008E1,-1.873200035E1,-2.827099991E1,3.624705919E1
2.016157154E0,1.421199989E1,-1.911499977E1,-2.735199928E1,3.626976733E1
2.025998539E0,1.593599987E1,-1.965200043E1,-2.643199921E1,3.658972253E1
2.035994308E0,1.788999939E1,-2.018799973E1,-2.520700073E1,3.691883391E1
2.046008462E0,1.992000008E1,-2.083900070E1,-2.352099991E1,3.720628697E1
2.055994770E0,2.206500053E1,-2.149099922E1,-2.171999931E1,3.768933093E1
2.065994693E0,2.432500076E1,-2.202700043E1,-1.984300041E1,3.834891231E1
2.075996231E0,2.631800079E1,-2.252499962E1,-1.834900093E1,3.920074755E1
2.086027847E0,2.792600060E1,-2.306100082E1,-1.704700089E1,4.002838377E1
2.096359231E0,2.907600021E1,-2.367399979E1,-1.574400043E1,4.066627109E1
2.106001616E0,2.984199905E1,-2.440200043E1,-1.440400028E1,4.115188643E1
2.115997000E0,3.056999969E1,-2.512999916E1,-1.264099979E1,4.154318975E1
2.125999154E0,3.129800034E1,-2.593400002E1,-1.034300041E1,4.194180301E1
2.136002154E0,3.187199974E1,-2.673900032E1,-7.814000130E0,4.233033314E1
2.146016385E0,3.217900085E1,-2.746699905E1,-5.171000004E0,4.262233422E1
2.156146385E0,3.229399872E1,-2.815600014E1,-2.948999882E0,4.294600444E1
2.165996693E0,3.217900085E1,-2.888400078E1,-1.225000024E0,4.325822722E1
2.176133308E0,3.191099930E1,-2.949699974E1,1.529999971E-1,4.345581985E1
2.186039385E0,3.148900032E1,-3.018700027E1,1.417000055E0,4.364424379E1
2.196010308E0,3.133600044E1,-3.091500092E1,2.872999907E0,4.411276838E1
2.206002231E0,3.160400009E1,-3.156599998E1,4.672999859E0,4.491171456E1
2.217640693E0,3.229399872E1,-3.210200119E1,7.125000000E0,4.608911432E1
2.226013770E0,3.367300034E1,-3.213999939E1,1.030500031E1,4.767644642E1
2.236245308E0,3.497499847E1,-3.168099976E1,1.336900043E1,4.904759358E1
2.246533539E0,3.516699982E1,-3.087599945E1,1.559099960E1,4.932671170E1
2.256287462E0,3.432400131E1,-3.003300095E1,1.712299919E1,4.871668414E1
2.266104924E0,3.294499969E1,-2.922900009E1,1.877099991E1,4.787544140E1
2.276122462E0,3.114399910E1,-2.819499969E1,2.091600037E1,4.692958298E1
2.285988000E0,2.899900055E1,-2.689200020E1,2.332900047E1,4.591692466E1
2.296569847E0,2.658600044E1,-2.547500038E1,2.570499992E1,4.490588029E1
2.306969616E0,2.451700020E1,-2.398100090E1,2.796500015E1,4.425169981E1
2.315993693E0,2.313800049E1,-2.225699997E1,2.995700073E1,4.391085295E1
2.325993770E0,2.221800041E1,-2.022599983E1,3.114399910E1,4.327446466E1
2.336006000E0,2.156699944E1,-1.792799950E1,3.129800034E1,4.202515265E1
2.346002077E0,2.018799973E1,-1.559099960E1,3.034000015E1,3.963773721E1
2.356003077E0,1.842600060E1,-1.359899998E1,2.907600021E1,3.701167501E1
2.366002385E0,1.743000031E1,-1.183699989E1,2.842399979E1,3.538139682E1
2.375999154E0,1.739200020E1,-9.920999527E0,2.834799957E1,3.470615194E1
2.386545077E0,1.811899948E1,-8.005999565E0,2.788800049E1,3.420723231E1
2.396025077E0,1.934499931E1,-6.243999958E0,2.677700043E1,3.361880851E1
2.406021231E0,2.095400047E1,-4.750000000E0,2.543600082E1,3.329598735E1
2.416013924E0,2.279299927E1,-3.486000061E0,2.432500076E1,3.351684165E1
2.426008539E0,2.409600067E1,-2.335999966E0,2.352099991E1,3.375368989E1
2.436016308E0,2.447900009E1,-1.340000033E0,2.313800049E1,3.371029683E1
2.445998308E0,2.444000053E1,-5.740000010E-1,2.329100037E1,3.376557123E1
2.456006770E0,2.424900055E1,-3.799999878E-2,2.313800049E1,3.351689929E1
2.465995924E0,2.421100044E1,2.680000067E-1,2.256299973E1,3.309582033E1
2.476458385E0,2.424900055E1,5.360000134E-1,2.152899933E1,3.243145288E1
2.486061924E0,2.413400078E1,6.890000105E-1,2.022599983E1,3.149628206E1
2.495992462E0,2.386599922E1,5.360000134E-1,1.919199944E1,3.063014948E1
2.506006000E0,2.348299980E1,2.290000021E-1,1.873200035E1,3.003983285E1
2.516011000E0,2.371299934E1,0.000000000E0,1.850300026E1,3.007768868E1
2.525991770E0,2.478499985E1,-1.140000001E-1,1.785099983E1,3.054451519E1
2.535992385E0,2.639399910E1,3.799999878E-2,1.651099968E1,3.113290450E1
2.546008770E0,2.830999947E1,4.210000038E-1,1.463300037E1,3.187095874E1
2.556164154E0,3.003300095E1,8.809999824E-1,1.264099979E1,3.259681246E1
2.565995539E0,3.133600044E1,1.187000036E0,1.110900021E1,3.326805943E1
2.575998770E0,3.213999939E1,1.302000046E0,1.072599983E1,3.390754838E1
2.586591847E0,3.313600159E1,1.264000058E0,1.130099964E1,3.503291153E1
