"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.500882690E-1,-5.937801600E-1,7.688016415E0,6.258634567E0,9.931197205E0
3.520902690E-1,-5.387118459E-1,7.680833817E0,6.182017326E0,9.874348424E0
3.540922690E-1,-4.956148863E-1,7.673650742E0,6.098217964E0,9.814214801E0
3.560942690E-1,-4.501236677E-1,7.676044941E0,6.057515144E0,9.788655014E0
3.580962690E-1,-4.357580245E-1,7.666468143E0,5.985687256E0,9.736173313E0
3.600886150E-1,-3.854782581E-1,7.668862343E0,5.933012962E0,9.703642921E0
3.620906150E-1,-3.543526828E-1,7.673650742E0,5.901887417E0,9.687247112E0
3.640926150E-1,-2.992843390E-1,7.656890869E0,5.827664852E0,9.627005065E0
3.660946150E-1,-2.394274771E-1,7.668862343E0,5.784567833E0,9.608850096E0
3.680966150E-1,-2.011190802E-1,7.671256542E0,5.751048088E0,9.589743476E0
3.700986150E-1,-1.316851079E-1,7.702382088E0,5.707951069E0,9.587738847E0
3.721006150E-1,-9.098244458E-2,7.719141960E0,5.674431324E0,9.580845540E0
3.741026150E-1,-7.422251999E-2,7.719141960E0,5.662459850E0,9.573615469E0
3.761046150E-1,-4.070267081E-2,7.762238979E0,5.650488377E0,9.601147305E0
3.781066150E-1,1.675992459E-2,7.793364525E0,5.609786034E0,9.602422135E0
3.800843460E-1,2.633702382E-2,7.819701672E0,5.616968632E0,9.628019759E0
3.820863460E-1,5.746259540E-2,7.858009815E0,5.609786034E0,9.655118826E0
3.840883460E-1,9.337671846E-2,7.891529560E0,5.607391834E0,9.681311956E0
3.860903460E-1,9.577099234E-2,7.910684109E0,5.624151707E0,9.706656354E0
3.880923460E-1,9.577099234E-2,7.937020779E0,5.638517380E0,9.736444380E0
3.900943460E-1,9.816526622E-2,7.975329399E0,5.652883053E0,9.776021801E0
3.920963460E-1,9.816526622E-2,8.001666069E0,5.667248249E0,9.805814551E0
3.940983460E-1,1.077423692E-1,8.023215294E0,5.628940105E0,9.801456972E0
3.961003460E-1,1.245022863E-1,8.013637543E0,5.593026161E0,9.773219998E0
3.981023460E-1,1.460507661E-1,7.999272346E0,5.573871613E0,9.750781182E0
4.001043460E-1,1.675992310E-1,8.008849144E0,5.511620522E0,9.723564927E0
4.021063460E-1,1.795706153E-1,8.039975166E0,5.473312378E0,9.727825793E0
4.041083460E-1,1.891477108E-1,8.044763565E0,5.466129303E0,9.727927181E0
4.061103460E-1,1.939362586E-1,8.056735039E0,5.444581032E0,9.725844610E0
4.081123460E-1,2.202732861E-1,8.049551964E0,5.423032284E0,9.708402870E0
4.101143460E-1,2.274561077E-1,8.051946640E0,5.423032284E0,9.710554059E0
4.121163460E-1,2.394274771E-1,8.037580490E0,5.425426483E0,9.700272067E0
4.141183460E-1,2.729473412E-1,7.968146324E0,5.456552505E0,9.661253611E0
4.161203460E-1,2.992843390E-1,7.927443981E0,5.456552505E0,9.628494401E0
4.181223460E-1,3.543526828E-1,7.855615616E0,5.482889175E0,9.586361992E0
4.201243460E-1,3.926610649E-1,7.752661705E0,5.514014721E0,9.521675513E0
4.221263460E-1,4.213923812E-1,7.723930359E0,5.509226322E0,9.496749254E0
4.241283460E-1,4.740664065E-1,7.642525196E0,5.545140266E0,9.454179547E0
4.261303460E-1,5.267404318E-1,7.601822376E0,5.566689014E0,9.436799537E0
4.281323460E-1,5.291347504E-1,7.563514233E0,5.569083214E0,9.407519278E0
4.301343460E-1,5.530774593E-1,7.506051540E0,5.609786034E0,9.387033810E0
4.321363460E-1,5.171633363E-1,7.491685867E0,5.648094177E0,9.396477153E0
4.341383460E-1,5.075862408E-1,7.484503269E0,5.691191196E0,9.416214219E0
4.361403460E-1,4.644893110E-1,7.455771923E0,5.782173634E0,9.446577011E0
4.381423460E-1,4.046324492E-1,7.431828976E0,5.858790398E0,9.472129342E0
4.401443460E-1,3.663240373E-1,7.412674904E0,5.899493217E0,9.480820785E0
4.421463460E-1,3.256213665E-1,7.415069103E0,6.002447128E0,9.545608970E0
4.441483460E-1,3.040728867E-1,7.395915031E0,6.093429565E0,9.587591113E0
4.461503460E-1,2.849186957E-1,7.386337757E0,6.143709183E0,9.611676578E0
4.481523460E-1,2.753416002E-1,7.391126156E0,6.277788639E0,9.701298318E0
4.501543460E-1,2.561874092E-1,7.379155159E0,6.411868095E0,9.779039591E0
4.521563460E-1,2.370332032E-1,7.393520832E0,6.469330311E0,9.827134359E0
4.541583460E-1,2.274561077E-1,7.395915031E0,6.560312748E0,9.888832023E0
4.561603460E-1,2.202732861E-1,7.407886028E0,6.672843933E0,9.972569473E0
4.581623460E-1,2.083019018E-1,7.422251701E0,6.727912426E0,1.001988102E1
4.601585000E-1,1.915419847E-1,7.422251701E0,6.811711788E0,1.007600745E1
4.621605000E-1,1.771763414E-1,7.424646378E0,6.900300026E0,1.013759862E1
